row_id,source_export_id,source_line,variant_id,parent_ref,parent_revision,item_ref,item_revision,item_type,description,quantity,uom,supplier,manufacturer_part_number,length,length_unit,material,voltage_v
REG-A-001,SYNTHETIC-PLM-REG-A,2,REG-A,SYN-TRAIN-A,A,LGT-100,A,assembly,Cabin lighting module,12,EA,Synthelume,SYN-MPN-LGT-100,1200,mm,aluminium,24
REG-A-002,SYNTHETIC-PLM-REG-A,3,REG-A,LGT-100,A,LGT-RAIL,A,component,Light extrusion,1,EA,Synthelume,SYN-MPN-LGT-RAIL,1200,mm,aluminium,
REG-A-003,SYNTHETIC-PLM-REG-A,4,REG-A,LGT-100,A,LGT-LED,A,component,LED board,2,EA,Synthelume,SYN-MPN-LGT-LED,,,,24
REG-A-004,SYNTHETIC-PLM-REG-A,5,REG-A,LGT-100,A,LGT-DRV,A,component,LED driver,1,EA,DemoVolt,SYN-MPN-LGT-DRV,,,,24
REG-A-005,SYNTHETIC-PLM-REG-A,6,REG-A,LGT-100,A,LGT-DIFF,A,component,Light diffuser,1,EA,Synthelume,SYN-MPN-LGT-DIFF,1200,mm,polycarbonate,
REG-A-006,SYNTHETIC-PLM-REG-A,7,REG-A,LGT-100,A,LGT-END,A,component,End cap,2,EA,Synthelume,SYN-MPN-LGT-END,,,polycarbonate,
REG-A-007,SYNTHETIC-PLM-REG-A,8,REG-A,LGT-100,A,LGT-CLIP,A,component,Mounting clip,4,EA,MockFix,SYN-MPN-LGT-CLIP,,,steel,
REG-A-008,SYNTHETIC-PLM-REG-A,9,REG-A,LGT-100,A,CBL-2C,A,component,Two-core cable,2.5,M,DemoVolt,SYN-MPN-CBL-2C,,,,
REG-A-009,SYNTHETIC-PLM-REG-A,10,REG-A,LGT-100,A,CON-2P,A,component,Two-pole connector,2,EA,DemoVolt,SYN-MPN-CON-2P,,,,
REG-A-010,SYNTHETIC-PLM-REG-A,11,REG-A,LGT-100,A,FIX-M6-20,A,component,M6 mounting bolt,4,EA,MockFix,SYN-MPN-FIX-M6-20,20,mm,steel,
REG-A-011,SYNTHETIC-PLM-REG-A,12,REG-A,LGT-100,A,FIX-W6,A,component,M6 washer,4,EA,MockFix,SYN-MPN-FIX-W6,,,steel,
REG-A-012,SYNTHETIC-PLM-REG-A,13,REG-A,LGT-100,A,FIX-N6,A,component,M6 nut,4,EA,MockFix,SYN-MPN-FIX-N6,,,steel,
REG-A-013,SYNTHETIC-PLM-REG-A,14,REG-A,LGT-100,A,LGT-LABEL,A,component,Lighting identification label,1,EA,Synthelume,SYN-MPN-LGT-LABEL,,,,
REG-A-014,SYNTHETIC-PLM-REG-A,15,REG-A,SYN-TRAIN-A,A,FLT-100,A,assembly,HVAC filter cassette,2,EA,FictiAir,SYN-MPN-FLT-100,600,mm,aluminium,
REG-A-015,SYNTHETIC-PLM-REG-A,16,REG-A,FLT-100,A,FLT-FRAME,A,component,Filter frame,1,EA,FictiAir,SYN-MPN-FLT-FRAME,600,mm,aluminium,
REG-A-016,SYNTHETIC-PLM-REG-A,17,REG-A,FLT-100,A,FLT-MEDIA,A,component,Standard filter insert,1,EA,FictiAir,SYN-MPN-FLT-MEDIA,,,,
REG-A-017,SYNTHETIC-PLM-REG-A,18,REG-A,FLT-100,A,FLT-GASK-EP,A,component,Filter gasket,2.4,M,FictiAir,SYN-MPN-FLT-GASK-EP,,,EPDM,
REG-A-018,SYNTHETIC-PLM-REG-A,19,REG-A,FLT-100,A,FLT-GRID,A,component,Filter support grid,1,EA,FictiAir,SYN-MPN-FLT-GRID,600,mm,steel,
REG-A-019,SYNTHETIC-PLM-REG-A,20,REG-A,FLT-100,A,FLT-LATCH,A,component,Filter latch,2,EA,MockFix,SYN-MPN-FLT-LATCH,,,,
REG-A-020,SYNTHETIC-PLM-REG-A,21,REG-A,FLT-100,A,FLT-HINGE,A,component,Filter hinge,2,EA,MockFix,SYN-MPN-FLT-HINGE,,,,
REG-A-021,SYNTHETIC-PLM-REG-A,22,REG-A,FLT-100,A,FLT-HANDLE,A,component,Filter handle,1,EA,MockFix,SYN-MPN-FLT-HANDLE,,,,
REG-A-022,SYNTHETIC-PLM-REG-A,23,REG-A,FLT-100,A,FIX-M6-20,A,component,M6 mounting bolt,8,EA,MockFix,SYN-MPN-FIX-M6-20,20,mm,steel,
